Date,Revenue_USD,Units_Sold,Retail_Price,Online_Sales_Percentage,Month_Num,Year
1900-01-01,15639552.189795652,73439.4962549259,183.0588332939735,71.09489754259418,1,1900
1900-01-02,12929732.895843277,88502.85423047746,175.70171135012114,67.9989895099416,1,1900
1900-01-03,14971311.363274071,77259.86752022736,172.3216224489371,66.85095550939802,1,1900
1900-01-04,13405300.69157363,91001.02696410682,173.879615596291,72.8265012550877,1,1900
1900-01-05,14878424.694813484,88833.96166693879,187.8397827904824,71.10756006904029,1,1900
1900-01-06,14060102.29456782,88886.87940312689,176.7025760611731,64.25088548864825,1,1900
1900-01-07,14868105.944532372,80610.55442080519,187.5316954170847,66.57897924759233,1,1900
1900-01-08,15081291.999174917,81648.20200501493,186.50411508408274,68.79765890556935,1,1900
1900-01-09,16722276.56101907,79996.8225611627,184.25626314570155,64.48526575950434,1,1900
1900-01-10,14965141.997937988,77102.81698160744,187.6767662912785,75.83414537918566,1,1900
1900-01-11,14534137.805750897,89898.63477961968,184.92217740793794,72.22434879883866,1,1900
1900-01-12,15808663.008671252,70390.50213510223,180.45931701091098,75.23569641180146,1,1900
1900-01-13,15626314.164226169,80206.91858060037,175.8002916754708,69.69032976616673,1,1900
1900-01-14,14177338.216596702,68314.110412197,189.80991101261904,72.65738096207244,1,1900
1900-01-15,16147111.062068397,77237.65678197588,172.13680091759161,65.94313399473678,1,1900
1900-01-16,16427046.405905053,86318.96084021464,185.1352833833844,66.91633309969241,1,1900
1900-01-17,15704596.635472596,81227.92159235594,185.64644237134928,72.1708019677527,1,1900
1900-01-18,14141861.918719431,83210.26797066181,176.79252824241087,76.80776123235007,1,1900
1900-01-19,13474367.791097572,78328.19609337441,187.2911911090835,72.55572933139787,1,1900
1900-01-20,16179992.773429565,88843.09925810156,177.16894934349656,71.23445310551924,1,1900
1900-01-21,13841968.188075125,70978.16179281902,171.40733731417419,73.70734424365288,1,1900
1900-01-22,14543575.918779358,84008.35527773877,174.74108099870315,64.35223051492703,1,1900
1900-01-23,16678345.450762212,81771.73517042684,184.4014878365966,63.36543204170232,1,1900
1900-01-24,14634994.813823428,68066.35555209489,185.0725129896992,68.24505307317845,1,1900
1900-01-25,14304580.659872798,89017.37565257499,182.9266796838619,73.50222229153812,1,1900
1900-01-26,14984098.70687627,75002.21724206179,183.211273246165,70.12487979580838,1,1900
1900-01-27,14191145.559328087,81780.75239855557,180.3826217588219,70.35410417758462,1,1900
1900-01-28,15583707.99935242,69101.85549490557,173.50896664744502,63.3014559791283,1,1900
1900-01-29,13277880.191957565,75740.7023177882,180.28358353541176,68.91858865797228,1,1900
1900-01-30,15577391.78461335,71909.91618389162,178.07542932494317,66.59637743638879,1,1900
1900-01-31,14802934.356557539,69152.96526418577,186.59747577736513,66.4748558898991,1,1900
1900-02-01,15850448.230540335,85575.66943228623,172.75846456776858,68.22474383952114,2,1900
1900-02-02,14628237.62963895,80940.43443829122,189.6370034680261,75.48712395851481,2,1900
1900-02-03,14363613.54551571,81647.53778884382,188.8269375538845,67.38635666667288,2,1900
1900-02-04,15478073.892777303,71738.59520466278,172.36374893920794,67.47344499673164,2,1900
1900-02-05,13574408.949344387,81841.19374246857,178.8476031284044,75.62623315219486,2,1900
1900-02-06,14438331.844400516,89304.66885757037,182.365579603761,64.19083224884999,2,1900
1900-02-07,14273031.552266017,88318.5942580828,183.47419554762524,66.98010457441767,2,1900
1900-02-08,16156319.793324519,84245.23843044357,186.48416290942674,75.47010619245486,2,1900
1900-02-09,15954702.292766638,84507.9584474391,171.396937210841,76.70822111849866,2,1900
1900-02-10,14512811.251946943,89979.3511920152,175.09472645402192,67.99196163619452,2,1900
1900-02-11,14511140.480433146,71077.56664910335,178.03049113962732,76.73173741328208,2,1900
1900-02-12,13976827.80932542,68923.92625823956,171.54027397412608,65.33679320444631,2,1900
1900-02-13,14767938.397640161,70167.53303008577,181.36378082614618,74.31277456839358,2,1900
1900-02-14,14773240.724608853,77570.95031791719,175.94742712427106,76.67928929707959,2,1900
1900-02-15,15746253.724923082,72060.66174497649,183.8410240183139,67.23440912787268,2,1900
1900-02-16,14565907.81892518,83916.89427883092,181.043226645236,71.43820368463211,2,1900
1900-02-17,15452743.67377362,75062.33637017214,174.7021427994134,71.0672582331296,2,1900
1900-02-18,14883834.132261096,67540.6302466338,186.14643872781642,76.51615158945424,2,1900
1900-02-19,14905885.119939782,68037.73024323932,174.73504692125027,63.148199307497144,2,1900
1900-02-20,13121176.981331501,71660.98437199827,188.10742621466395,69.50697596533377,2,1900
1900-02-21,14003789.764234498,77378.98057935861,178.35810642705036,71.31169202506453,2,1900
1900-02-22,15817768.747726,69935.05390948302,172.37504988848195,72.32021637559536,2,1900
1900-02-23,12771931.812136276,77016.33736789608,176.48039323005608,64.93272833776638,2,1900
1900-02-24,15757330.825924527,84619.68452730904,178.48767499346147,65.89068599526871,2,1900
1900-02-25,16326887.855002422,71531.37858392729,188.11308409150604,72.01298586309092,2,1900
1900-02-26,13416466.146995349,74789.22260428505,176.9126926008042,68.75884381136365,2,1900
1900-02-27,12773994.776742106,82888.55735383903,177.91810422367806,70.89212472520833,2,1900
1900-02-28,15819976.630684752,68126.4449751725,173.19854723557486,76.43882045713974,2,1900
1900-03-01,16524055.672839122,77371.98623085796,181.41080464632648,68.46282389723586,3,1900
1900-03-02,13739875.233967075,71182.37723185243,186.58527765163964,68.1938066275682,3,1900
1900-03-03,16515148.595162798,77798.89205939246,173.01842040389306,76.39577219393476,3,1900
1900-03-04,13767740.755732723,73866.74980326157,180.30890074621703,63.672608764191494,3,1900
1900-03-05,16446771.342092402,82631.1451199973,190.67274279800566,65.77498139683439,3,1900
1900-03-06,14107727.529160243,71232.32433640094,175.48905513148435,76.15242538371177,3,1900
1900-03-07,14813505.107118513,70692.69011906789,178.77392325614716,76.92916719795606,3,1900
1900-03-08,12619577.904964896,82972.6042485084,185.38383302847316,71.36660940430791,3,1900
1900-03-09,16137529.189756047,71977.0361840262,180.10204630291577,76.25844694003831,3,1900
1900-03-10,13018574.190297969,77755.39210513906,173.69480836977866,66.97389328416018,3,1900
1900-03-11,13431552.480162328,80289.79457540814,174.79586218419766,73.08118172951532,3,1900
1900-03-12,14846296.417283934,73013.0061538889,172.16134791721686,70.49191161277604,3,1900
1900-03-13,16671991.261468299,68674.58960419253,183.08446980057101,74.31085509573519,3,1900
1900-03-14,13215380.305834236,80481.46090855065,179.11879222468517,71.6043310276472,3,1900
1900-03-15,16308900.129113667,86775.11554425703,179.97462858133702,72.61078205401228,3,1900
1900-03-16,15153833.011406323,87160.80991162745,177.45932446610405,76.77907438231802,3,1900
1900-03-17,14768838.309497796,73692.534565449,181.72914433272987,73.49093553249091,3,1900
1900-03-18,15932701.298316527,88074.49607725647,177.9563086543485,76.6406444161754,3,1900
1900-03-19,15011341.800621504,86274.05296859855,180.60764934255607,68.73305873497112,3,1900
1900-03-20,14763409.014652401,72097.96964227306,189.70010053766103,68.42515955686592,3,1900
1900-03-21,13288821.644073013,68959.4638880583,185.64596099044294,63.805971268051245,3,1900
1900-03-22,15457274.17851562,68992.42707613632,185.64675785541885,64.24179491924082,3,1900
1900-03-23,14080876.846963756,77462.90995190466,179.0440857742597,75.76200063189502,3,1900
1900-03-24,14636536.859830169,82326.08661443688,186.3573262884987,70.93169978305552,3,1900
1900-03-25,12757345.817845093,82446.11854670064,186.03134122922572,73.3909511766781,3,1900
1900-03-26,13178080.254214507,90895.67608403318,181.9679040363946,67.31095213350626,3,1900
1900-03-27,13017262.962719753,75513.09395358906,187.122223352075,63.57376573469909,3,1900
1900-03-28,13378644.568284199,69837.04678214005,187.28611413627274,64.48583018509645,3,1900
1900-03-29,15802162.285527626,78729.19033579553,173.32382980775256,68.72211355021537,3,1900
1900-03-30,16028560.10181047,79871.26375346014,190.73897771000674,66.51316897181759,3,1900
1900-03-31,14785524.193104226,80147.07273212628,188.93453777097713,70.70945605165986,3,1900
1900-04-01,14077317.33057724,69822.56499492502,172.36264720668538,66.21514057449697,4,1900
1900-04-02,12826878.330449425,81169.57344542562,183.77238622504063,76.36366769447716,4,1900
1900-04-03,15936787.074744897,76818.12816077884,172.00571982223485,63.98679664111463,4,1900
1900-04-04,16567416.629519379,77679.48579648603,176.3109881863449,75.90541456156578,4,1900
1900-04-05,15109513.685043696,67948.36383270552,175.64506981446547,72.95177810506783,4,1900
1900-04-06,14183125.867358387,87421.93118770533,183.52039916449402,72.99225105292349,4,1900
1900-04-07,14351161.451863099,74438.57936786475,177.66241298801467,65.15616431103344,4,1900
1900-04-08,13363654.470491124,89983.5193124865,182.67519066049744,75.30060292437359,4,1900
1900-04-09,16060402.986116221,82758.41594519262,179.76507389743767,64.57988437477837,4,1900
1900-04-10,15351907.775667543,74287.35390144213,177.85165976266788,75.66020214228297,4,1900
1900-04-11,14686182.348522112,74053.04039905983,188.97516842025428,73.36649459407762,4,1900
1900-04-12,16598047.799453754,89852.25733645212,174.2157307248553,67.80624252066889,4,1900
1900-04-13,13943450.989146335,84221.00753221706,184.00163446702254,69.28765257508532,4,1900
1900-04-14,16372796.823550737,87269.83657354974,172.1415495795532,69.07537117016896,4,1900
1900-04-15,14965017.077237943,75286.86836608253,176.63767823466097,71.706749972521,4,1900
1900-04-16,14072376.747359378,69001.17801030015,171.84764225775825,69.69703827477186,4,1900
1900-04-17,13004319.799772346,75836.5876936543,172.92829662491334,76.35438355350563,4,1900
1900-04-18,14367115.780408243,89970.94267501378,179.6514918091909,69.81482471393045,4,1900
1900-04-19,15375428.128657505,73978.88572536399,174.32964024898988,69.03721897502126,4,1900
1900-04-20,16554439.903222818,86580.47609862051,186.8206986659214,71.61462056951301,4,1900
1900-04-21,15211217.92276432,78684.40044493167,173.9760543620133,64.97146028976246,4,1900
1900-04-22,15755211.941208417,85283.81848658755,184.73241133187253,63.42955340142462,4,1900
1900-04-23,16665385.474160692,68494.15057263481,189.26632629174736,67.15716486544497,4,1900
1900-04-24,14786740.320961196,77579.52357520617,177.79334791737136,72.01099770223749,4,1900
1900-04-25,16136175.330572613,88590.45014488093,190.22826709571106,74.09938714006311,4,1900
1900-04-26,16574439.101944277,70819.52499109859,174.14017293111073,76.44563484278152,4,1900
1900-04-27,12754059.585640848,73778.17069011752,187.7690526127184,74.84921451182758,4,1900
1900-04-28,13960011.470872061,73781.8185690665,189.98538438513754,63.13565893298171,4,1900
1900-04-29,15795261.064299593,72848.65728071445,184.89527561328123,68.0925209674904,4,1900
1900-04-30,13040967.927243782,80944.0628331818,174.0782214382968,66.2450539689757,4,1900
1900-05-01,13600347.790561676,88171.54045642357,171.87854613132322,74.18677682985178,5,1900
1900-05-02,14592228.014412995,71531.0554892864,174.62417043874655,71.15936870185438,5,1900
1900-05-03,15957815.804754427,86986.02663701295,186.96364728191512,76.06662832212446,5,1900
1900-05-04,13196068.584547773,80472.62757664801,190.50419920945777,74.94562699189954,5,1900
1900-05-05,15475586.339577146,73170.45808028415,181.90394393211926,67.5089090049025,5,1900
1900-05-06,13851418.94364543,87677.83551925086,190.30540034745766,76.78880953431212,5,1900
1900-05-07,14213233.073764449,73804.55249227303,177.61963047549227,63.04194923221595,5,1900
1900-05-08,15987867.8432415,79437.74734084177,180.14173700914827,73.73003093791694,5,1900
1900-05-09,14004094.215965899,71060.22649162443,173.13599123664147,67.11601815752402,5,1900
1900-05-10,14154824.44866976,85648.29616465428,171.89680944605442,76.92928034832835,5,1900
1900-05-11,13797108.827058576,74180.4813197898,178.99350387060508,72.91188708693758,5,1900
1900-05-12,12903124.849102154,90010.65503554668,173.75721779499037,72.6546629332437,5,1900
1900-05-13,13708179.678325828,87792.61387964844,179.30776192996348,65.14660063074746,5,1900
1900-05-14,13844564.37080928,78297.65368014488,189.9086076217614,67.88574684882357,5,1900
1900-05-15,15636493.695070246,83078.14646701163,172.2750394697344,74.9070760710503,5,1900
1900-05-16,13152391.89723802,75836.49198483989,188.48462568787443,67.9946280953948,5,1900
1900-05-17,15500402.245814867,80316.93325641434,180.58485110691225,66.2994613332862,5,1900
1900-05-18,13944389.332021862,69032.6497708767,172.43502598538498,63.37273683513672,5,1900
1900-05-19,13218448.882564912,69847.18032364424,187.22141386172328,67.56200008949546,5,1900
1900-05-20,14260617.9555206,67795.51261119691,181.31316775970203,71.74938714276009,5,1900
1900-05-21,16507104.856400626,88844.93294893255,174.60090118781682,76.89444762137715,5,1900
1900-05-22,14212498.765407749,77124.31620708716,179.51992835845223,69.48625389465421,5,1900
1900-05-23,14301392.150797488,87535.6530384545,180.39263697736473,63.5883794263618,5,1900
1900-05-24,15002631.029643254,81909.81658392414,187.07009891698618,65.19022117592935,5,1900
1900-05-25,13775498.513791127,79420.06547351234,181.32170127937854,63.417912727474075,5,1900
1900-05-26,16506636.645118147,67412.30890175382,179.1608640626304,70.5815300978245,5,1900
1900-05-27,12779220.010627396,68079.49880679726,184.454363170893,72.52118806540481,5,1900
1900-05-28,13043830.694548413,71494.61908265414,180.1965000494429,65.84830344694282,5,1900
1900-05-29,14575854.90673088,85202.11235054687,180.4126204931554,75.20326834739814,5,1900
1900-05-30,13466556.750357857,70377.37709765039,182.3934856917948,74.11216388696965,5,1900
1900-05-31,13610848.434878102,86260.86470985001,182.37180277733006,69.80193628234403,5,1900
